id,vl_diff,cd_diff,vlogs_diff_mean,cds_diff_mean,n,payoffs,payoffs_b,nearest_payoff,classification_2,classification_3,classification_4,phen_1,str1_2,str1_3,str2_2,str2_3,str2_4,str2_5,str2_6,str2_7,batch_1,TB_1,GR_1
114,-0.5822569255467751,0.8689664061011497,-0.18324088232080385,0.5866804711230271,32,0.3611175972165351,-0.3689515557076696,-0.3439026780706041,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
115,-0.3863756847987986,-0.4620221158117808,-0.39504432171114445,-0.4577889117310282,47,-0.1651433779131996,-0.3689515557076696,-0.3439026780706041,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0
116,-0.08382314677273384,-0.5103278355148317,-0.39504432171114445,-0.4577889117310282,47,-0.1651433779131996,-0.3689515557076696,-0.08686274333177196,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
117,-0.6455432906223164,0.39896420167490176,-0.18324088232080385,0.5866804711230271,32,0.07816213825653476,-0.3689515557076696,-0.3439026780706041,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
118,-0.6503435348109753,-0.44948108732474246,-0.39504432171114445,-0.4577889117310282,47,-0.1651433779131996,-0.3689515557076696,-0.3439026780706041,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0
119,-0.03613706677715765,-0.17333467233230537,0.01036795153766684,0.00431251384321148,79,-0.1651433779131996,-0.3689515557076696,-0.02188969694557166,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
123,-0.07265988619462932,-0.11149701101207075,0.01036795153766684,0.00431251384321148,79,-0.1651433779131996,-0.3689515557076696,-0.06612330648821005,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
124,-0.6783174638072637,-0.21690919581291404,-0.39504432171114445,-0.4577889117310282,47,-0.1651433779131996,-0.29368732957820215,-0.3439026780706041,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0
125,-0.08173605566044938,-0.22461469660662065,0.01036795153766684,0.00431251384321148,79,-0.1651433779131996,-0.29368732957820215,-0.08686274333177196,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
126,-0.6387065270556364,0.825989378876108,-0.18324088232080385,0.5866804711230271,32,0.33524413460577335,-0.29368732957820215,-0.3439026780706041,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
127,-0.06352008945036375,0.10336813304882432,0.01036795153766684,0.00431251384321148,79,-0.09979558295663928,-0.29368732957820215,-0.06612330648821,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
128,-0.07289084110247965,0.0130453255141075,0.01036795153766684,0.00431251384321148,79,-0.15417262889356315,-0.29368732957820215,-0.06612330648821005,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
129,-0.3259891613138367,-0.28914131889749567,-0.39504432171114445,-0.4577889117310282,47,-0.1651433779131996,-0.29368732957820215,-0.3439026780706041,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0
130,-0.32816687594879884,-0.3644946852552291,-0.39504432171114445,-0.4577889117310282,47,-0.1651433779131996,-0.29368732957820215,-0.3439026780706041,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0
131,-0.35464566989295476,-0.10675125677447168,-0.39504432171114445,-0.4577889117310282,47,-0.1651433779131996,-0.29368732957820215,-0.3439026780706041,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0
132,-0.09921328197203633,0.30602199661554536,-0.18324088232080385,0.5866804711230271,32,0.02220813625046253,-0.29368732957820215,-0.10760218017533396,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
135,0.264419720154882,-0.2784551732152064,0.01036795153766684,0.00431251384321148,79,-0.1651433779131996,-0.08482415317226838,0.2541046223783886,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0
136,-0.06626309963516847,0.16436291090393457,0.01036795153766684,0.00431251384321148,79,-0.0630748927138679,-0.08482415317226838,-0.06612330648821005,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
137,-0.04857022861337847,-0.13547660071003603,0.01036795153766684,0.00431251384321148,79,-0.1651433779131996,-0.08482415317226838,-0.06612330648821,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
